model,Abstraction,Perception,Spatiality,Transformation,Knowledge,overall
Codex/gpt-6-astra,0.9572928561791345,0.9529136170071569,0.903401632831021,0.9016378592743506,0.8629167911555102,0.9228340214922199
Claude Code/Fable 5.1,0.8377223848010434,0.9567465972610081,0.9079344156338991,0.9431603899364047,0.8343688039520032,0.8942984694780162
Gemini CLI/3.1 Pro,0.8775355519040935,0.9716197654572782,0.8160657072117338,0.8943492606695239,0.8612253269323392,0.892962658855426
GLM-5,0.4782214060376623,0.7476151970970705,0.4913769853212721,0.568969837270991,0.5058859328180324,0.5719026320559439
Kimi K2.5,0.42666081820598806,0.7265120223293304,0.5270701423647669,0.5820854049507211,0.4897194604026063,0.5573167396526539
MiniMax M2.5,0.3470778367718666,0.6329500889195143,0.41245831618055273,0.4392869557369475,0.3580250640412664,0.4507280115355934
DeepSeek V3.2,0.30764808344892663,0.5384904710945789,0.35803265991040123,0.28834822981496716,0.3068511699915528,0.37787808823056906
Devstral 2 123B,0.2903931570575255,0.4781165384112711,0.3819280972814391,0.29604150067898616,0.2480421988769274,0.3502324134526621
Kimi K2 Thinking,0.23060360977908304,0.4755945327690118,0.35882307212370146,0.19509428261073636,0.21565427264371048,0.31261468887547966
gpt-oss-120b,0.22416966469641417,0.3475958840340522,0.30016741800575675,0.1670277361302128,0.25547449326668537,0.269979532640855
Qwen3-Coder-Next,0.2602198747396893,0.36385034060187726,0.19532646526330177,0.18016433531649945,0.23188220183719466,0.26386263708262314
Nemotron Super 3 120B,0.19290652594314744,0.2494629109975504,0.26877786908759277,0.06209013543487496,0.1670383646260033,0.20026881115024145
Qwen3-Coder-30B-A3B,0.18313959620345252,0.1231747745000617,0.17060575249345172,0.06694875839161996,0.14253965066323515,0.14268714094284174
Mistral Large 3 675B,0.07455478475944428,0.1997250364023355,0.14763622533537196,0.05740261589586676,0.11752099725982698,0.12740080582304567
GLM-4.7-Flash,0.15819988534311208,0.09664809157921204,0.08771652612770447,0.057255783146186796,0.08640848469380516,0.10393438722775551
gpt-oss-20b,0.08456454090171191,0.0643764258354676,0.07793089708056378,0.08721884353686361,0.08762212808916829,0.07874994355361471
Qwen3-Next-80B-A3B,0.04407069850088687,0.09341521907475818,0.09720828846956218,0.017414605409563265,0.07859861986324679,0.06975075254444844
Llama 4 Scout,0.101688252828086,0.0166832634520012,0.040868205983368766,0.024508095458701026,0.05121067401136913,0.04930328944812509
Nemotron Nano 3 30B,0.03655916899345121,0.022857142857142857,0.03911213053825336,0.012344497239418818,0.023564112138139918,0.027756254109460185
Qwen3-VL-235B-A22B,0.02475440006304374,0.012979855674963143,0.0337550345268727,0.008536993626813826,0.044446342292880255,0.024693009399915155
Qwen3-32B,0.001985665714039522,0.002857142857142857,0.013152577931668862,0.0032944692789018243,0.0032736774813087195,0.004418163932493774
Llama 4 Maverick,0.0,0.0,0.0,0.0,0.00557279636380775,0.0010588313091234726
