model,score,produced,attempts,produced_rate,tool_use_rate,tool_calls_per_attempt,timeouts,median_seconds,mean_input_tokens,mean_output_tokens,failed_without_tools,failed_with_tools
Codex/gpt-6-astra,0.9228340214922199,500,500,1.0,1.0,3.168,0,22.0,56773.922,1164.608,0,0
Claude Code/Fable 5.1,0.8942984694780162,500,500,1.0,1.0,9.25,0,105.0,233474.558,7314.806,0,0
Gemini CLI/3.1 Pro,0.892962658855426,500,500,1.0,1.0,25.29,0,217.5,658650.07,7538.906,0,0
GLM-5,0.5719026320559439,495,500,0.99,1.0,48.012,12,378.0,1568595.006,16294.822,0,5
Kimi K2.5,0.5573167396526539,498,500,0.996,0.99,41.854,0,335.5,1213118.756,19178.594,2,0
MiniMax M2.5,0.4507280115355934,488,500,0.976,0.986,45.736,0,420.0,1294885.874,19751.93,7,5
DeepSeek V3.2,0.37787808823056906,475,500,0.95,0.998,32.93,0,277.0,635752.692,13622.232,0,25
Devstral 2 123B,0.3502324134526621,494,500,0.988,0.99,38.692,0,343.5,838955.602,13118.864,4,2
Kimi K2 Thinking,0.31261468887547966,406,500,0.812,0.958,21.756,1,125.0,508660.67,15458.366,20,74
gpt-oss-120b,0.269979532640855,380,500,0.76,0.996,9.51,0,34.0,116969.126,3886.368,2,118
Qwen3-Coder-Next,0.26386263708262314,498,500,0.996,0.998,47.664,93,455.0,1817146.226,19192.436,0,2
Nemotron Super 3 120B,0.20026881115024145,436,500,0.872,0.95,22.95,0,59.0,467204.3,8326.842,23,41
Qwen3-Coder-30B-A3B,0.14268714094284174,480,500,0.96,0.978,12.484,0,50.0,146391.744,4324.85,11,9
Mistral Large 3 675B,0.12740080582304567,254,500,0.508,0.982,7.604,0,25.5,80955.55,1756.198,9,237
GLM-4.7-Flash,0.10393438722775551,470,500,0.94,0.998,27.738,1,41.0,655689.134,7611.036,1,29
gpt-oss-20b,0.07874994355361471,148,500,0.296,0.94,9.676,0,55.0,135344.062,7408.89,30,322
Qwen3-Next-80B-A3B,0.06975075254444844,167,500,0.334,0.994,6.14,0,25.0,61249.166,1465.616,3,330
Llama 4 Scout,0.04930328944812509,269,500,0.538,0.998,7.528,1,15.0,75449.526,1175.106,1,230
Nemotron Nano 3 30B,0.027756254109460185,91,500,0.182,0.354,8.07,0,5.0,158505.56,2540.938,322,87
Qwen3-VL-235B-A22B,0.024693009399915155,70,500,0.14,1.0,3.106,0,9.0,26214.534,500.804,0,430
Qwen3-32B,0.004418163932493774,25,500,0.05,1.0,1.848,0,6.0,23536.09,304.048,0,475
Llama 4 Maverick,0.0010588313091234726,7,500,0.014,0.978,2.104,0,6.0,21448.216,218.102,11,482
bedrock-deepseek-r1,0.0,0,401,0.0,0.0,0,0,6,0,0,401,0
Gemma 3 12B,0.0,0,500,0.0,0.0,0,0,17.0,1798.856,332.416,500,0
Gemma 3 27B,0.0,0,500,0.0,0.0,0,0,31.0,1830.566,526.072,500,0
Llama 3.3 70B,0.0,0,500,0.0,0.0,0,0,5.0,6052.084,176.186,500,0
Magistral Small,0.0,0,500,0.0,0.0,0,0,5.0,7618.378,596.932,500,0
