task,split,Codex/gpt-6-astra,Claude Code/Fable 5.1,Gemini CLI/3.1 Pro
G-43_understand_scene_structure,In_Domain,0.214571551392118,0.003296931947903584,0.7701267882788704
O-14_shape_scale_then_outline,In_Domain,0.7794153845532976,0.008381816683980347,0.5763430361447057
G-29_chart_extreme_with_data,In_Domain,0.5856310231988726,0.5656319591152064,0.3199637530012295
O-13_shape_outline_then_move,In_Domain,0.9410109014394528,0.011467405882727641,0.5913597995946234
O-29_ballcolor,In_Domain,0.72849126336,0.4105360128,0.48655504704
O-32_rolling_ball,In_Domain,0.3235,0.69748,0.61198
O-21_construction_blueprint,In_Domain,0.7979844515427461,0.6191461883208094,0.2434300852295465
O-55_rotation,In_Domain,0.680896,0.63504,0.411936
O-15_ball_bounces_given_time,In_Domain,0.6754280842568013,0.5466399797528706,0.5417680240779214
G-218_identify_largest_angle_in_triangle,Out_of_Domain,0.2,0.6,1.0
G-15_grid_avoid_obstacles,In_Domain,0.41369644463117816,0.8053399290526915,0.6089545815740893
O-23_domino_chain_branch_path_prediction,In_Domain,0.83339,0.48189000000000004,0.58765
G-39_attention_shift_different,In_Domain,0.6199816105577948,0.7399816105577948,0.618271068278534
O-31_ball_eating,In_Domain,0.79325,0.89025,0.62907
O-19_mirror_reflection,In_Domain,0.76486,0.84,0.7972
G-221_outline_innermost_square,Out_of_Domain,0.7767914185698613,0.8178243634416406,0.8076092725874959
O-24_domino_chain_gap_analysis,In_Domain,0.7585,0.88568,0.75828
G-16_grid_go_through_block,In_Domain,0.8450580440637493,0.8431719310602641,0.7583070438087609
G-9_identify_objects_in_region,In_Domain,0.8978921400652268,0.9379185267821535,0.6271032921877011
O-33_counting_object,In_Domain,0.934688,0.6931296,0.8719520000000001
O-52_traffic_light,In_Domain,0.798988,0.876,0.8350000000000001
O-25_LEGO_construction_assembly,In_Domain,1.0,0.852368,0.6621
G-138_spot_unique_non_repeated_color,In_Domain,0.8042042251628682,0.8830113414800462,0.8741136735415278
O-22_construction_stack,Out_of_Domain,0.9828571428571429,0.8495238095238096,0.7445238095238096
G-131_select_next_figure_increasing_size_sequence,In_Domain,1.0,0.7988872721067952,0.7855335533472616
O-5_symbol_deletion,Out_of_Domain,1.0,0.6060970560709635,1.0
O-54_control_panel,Out_of_Domain,0.9485071665136678,0.8696726168552361,0.8372244831817424
O-11_shape_color_then_move,Out_of_Domain,0.9979004318987247,0.7319913471843349,0.9911595574908981
G-273_high_density_liquid,Out_of_Domain,0.905,0.935336,0.9
G-219_select_leftmost_shape,Out_of_Domain,0.988047943339849,0.9879851894312869,0.7886936325515677
O-10_shape_outline_fill,In_Domain,0.9984119899341041,0.9765971845854318,0.7943052914068903
G-41_grid_highest_cost,In_Domain,1.0,0.770357454228422,1.0
G-240_add_borders_to_unbordered_shapes,Out_of_Domain,0.9461872864893659,0.9299497914232517,0.9054255325787691
O-6_2d_geometric_transformation,Out_of_Domain,0.9698095206831291,0.9702224940260818,0.8418581608312907
O-30_bookshelf,In_Domain,0.9375025,0.9227925,0.9375025
G-167_select_longest_polygon_side,Out_of_Domain,1.0,0.8,1.0
O-49_symmetry_completion,Out_of_Domain,1.0,1.0,0.8
O-62_gravity_physics,Out_of_Domain,0.924431,1.0,0.904684
G-25_seperate_object_spinning,In_Domain,0.9992467465159454,0.9990019996698158,0.8566207985842755
G-51_predict_next_color,In_Domain,0.9262782999376825,0.9340435131294553,0.9945633362748508
O-44_rotation_puzzle,In_Domain,0.9900883355882318,0.9927218353501129,0.8933171465304256
O-85_2d_object_rotation,Out_of_Domain,0.9603140002737997,0.9619567685627465,0.9612009352758172
G-24_separate_objects_no_spin,Out_of_Domain,0.9641636875237839,0.964161531073717,0.9640369275587273
O-59_symbol_insert,Out_of_Domain,0.9596925341498116,1.0,0.9356669603055415
O-61_symbol_edit,Out_of_Domain,1.0,1.0,0.896089142913719
O-12_shape_color_then_scale,In_Domain,0.9701984794223751,0.9690809254245342,0.964311720057177
O-43_object_subtraction,Out_of_Domain,0.948864,0.98144,0.98144
